game,Age,time1,time2,min,max,complex,year,Spiel des Jahres,owner,category,bgg link,Author,
Tsuro,8,12,20,2,8,1.23,2005,,,board,https://boardgamegeek.com/boardgame/16992/tsuro,,
Kingdomino,8,12,25,2,4,1.22,2016,Spiel des Jahres,,board,https://boardgamegeek.com/boardgame/204583/kingdomino,Bruno Cathala,
Kayanak,4,15,15,2,4,1.20,1999,,Hugo / Oskar,board,https://boardgamegeek.com/boardgame/4493/kayanak,Peter-Paul Joopen,
Heckmeck,8,20,20,2,7,1.15,2005,,,dice,https://boardgamegeek.com/boardgame/15818/pickomino,Reiner Knizia,
Hugo das Schlossgespenst,8,30,30,2,8,1.14,1989,,Hugo,board,https://boardgamegeek.com/boardgame/444/escape-hidden-castle,Wolfgang Kramer,
Qwixx,8,15,15,2,5,1.12,2012,nominated,,dice,https://boardgamegeek.com/boardgame/131260/qwixx,Steffen Benndorf,
Zicke Zacke Hühnerkacke,4,15,20,2,4,1.12,1998,Kinderspiel,Martin,board,https://boardgamegeek.com/boardgame/3570/chicken-cha-cha-cha,,
Uno,6,30,30,2,12,1.11,1971,,,card,https://boardgamegeek.com/boardgame/2223/uno,,
Fang den Hut,6,30,30,2,6,1.10,1927,,Hugo,board,https://boardgamegeek.com/boardgame/1730/trap-cap,C. A. N. Neves,
Skyjo,8,15,45,2,8,1.07,2015,,,card,https://boardgamegeek.com/boardgame/204135/skyjo,,
The Mind,8,20,20,2,4,1.07,2018,nominated,Hugo,card,https://boardgamegeek.com/boardgame/244992/mind,Wolfgang Warsch,
Dreckschwein,7,10,10,2,4,1.05,2012,,Hugo,card,https://boardgamegeek.com/boardgame/118410/dirty-pig,Frank Bebenroth,
Pictures,8,20,30,3,5,1.02,2019,Spiel des Jahres,Hugo,board,https://boardgamegeek.com/boardgame/284108/pictures,"Christian Stöhr, Daniela Stöhr",
double shutter,8,15,15,1,4,1.00,2007,,Hugo,dice,https://boardgamegeek.com/boardgame/34943/double-shutter,(classic),
Karma ,8,20,20,2,12,1.00,2014,,,card,https://boardgamegeek.com/boardgame/158268/karma,Marsha J. Falco,
Karma King,8,20,20,2,6,1.00,2014,,Martin,card,https://boardgamegeek.com/boardgame/158268/karma,Marsha J. Falco,
Five Crowns Junior,5,30,30,2,6,1.00,2013,,,card,https://boardgamegeek.com/boardgame/146997/five-crowns-junior,Marsha J. Falco,
Regatta ,10,,,2,4,,1989,,Martin,board,,,
Yacht Spiel,10,,,2,5,,1986,,Martin,board,https://boardgamegeek.com/boardgame/17672/sailors-game,,
Wissen Würfel,12,,,2,6,,1984,,Martin,board,https://boardgamegeek.com/boardgame/18840/wissens-spektrum,,
Ostsee Törn,10,60,60,2,6,,1985,,Martin,board,https://boardgamegeek.com/boardgame/63335/ostsee-torn,,
Oh Crud,8,30,30,2,9,,2021,,Martin,card,https://boardgamegeek.com/boardgame/354078/oh-crud,,
Speed art,8,,,2,6,,2016,,,card,https://boardgamegeek.com/boardgame/197706/speed-art,,
